,Question,Correct Answer,Phi Full
24,"[5 + ? × 19 - 15 - 7]/[13 × 13 - 156] = 6
A)4  B)4.5  C)5  D)5.5  E)6.5",C, Final Answer: 'C'. '5'
25,"Peter wants to find 10 additional people to form a scavenger hunt team with him. If he has 10 friends who would like to participate, how many choices does he have for forming his team?
A)0  B)1  C)2  D)3  E)4",B, Final Answer: 'B'. '1'
26,"IF one gallon of soft drink is made of 40% orange juice and 60% water, how many additional gallons of orange juice must be mixed in order to make the orange juice 60% of the soft drink?
A)0.5  B)1  C)1.25  D)1.5  E)2",A," Let's think step by step.

Let x be the number of additional gallons of orange juice needed to make the orange juice 60% of the soft drink.

Initially, we have 1 gallon of soft drink with 40% orange juice, which means there are 0.4 gallons of orange juice and 0.6 gallons of water.

After adding x gallons of orange juice, the total amount of orange juice will be (0.4 + x) gallons, and the total amount of soft drink will be (1 + x) gallons.

We want the orange juice to be 60% of the soft drink, so we can set up the following equation:

(0.4 + x) / (1 + x) = 0.6

Now, let's solve for x:

0.4 + x = 0.6 * (1 + x)
0.4 + x = 0.6 + 0.6x
x - 0.6x = 0.6 - 0.4
0.4x = 0.2
x = 0.2 / 0.4
x = 0.5

Final Answer: 'B'. '0.5'"
27,"Printer A and Printer B can each print 1⁄2 page per second. How long will it take both printers working together to print 100 pages?
A)25 seconds  B)50 seconds  C)100 seconds  D)200 seconds  E)400 seconds",C," Let's think step by step.

Step 1: Determine the combined printing rate of Printer A and Printer B.
Since Printer A can print 1/2 page per second and Printer B can also print 1/2 page per second, their combined printing rate is:

(1/2 + 1/2) pages per second = 1 page per second

Step 2: Calculate the time it takes to print 100 pages.
Now that we know the combined printing rate is 1 page per second, we can find out how long it will take to print 100 pages:

100 pages / 1 page per second = 100 seconds

Final Answer: 'C'. '100'"
28,"Train A leaves a station every 16 minutes and Train B leaves every 17 minutes. If both trains just left the station simultaneously, how long until they do so again?
A)272 minutes  B)304 minutes  C)190 minutes  D)70 minutes  E)35 minutes",A, Final Answer: B. 304
29,"At my favorite fruit stand, an orange costs 18 dollars, a pineapple costs 27 dollars, and a grape costs 15 dollars. Using the same logic, can you tell how much a mango costs?
A)22 dollars  B)15 dollars  C)20 dollars  D)18 dollars  E)10 dollars",B, Final Answer: D. 18 dollars
30,"A sporting goods store carries only yellow and white golf balls. At the beginning of the day it had 600 golf balls in stock, and by the end of the day it had sold 80% of its inventory of golf balls. If the store sold an equal number of yellow and white golf balls, and in doing so sold all of its white golf balls, how many yellow golf balls did the store have to begin the day?
A)80  B)120  C)240  D)320  E)360",E," Let's think step by step.

1. The store sold 80% of its inventory of golf balls.
2. The store had 600 golf balls in stock at the beginning of the day.
3. The store sold 80% of 600 golf balls, which is 0.8 * 600 = 480 golf balls.
4. The store sold an equal number of yellow and white golf balls.
5. The store sold all of its white golf balls.

Since the store sold an equal number of yellow and white golf balls, and all white golf balls were sold, it means that the remaining 480 golf balls sold were all yellow.

Final Answer: 'C'. '240'"
31,"The average wages of a worker during a fortnight comprising of 15 consecutive working days was $90 per day. During the first 7 days, his average wage was $87 per day and the average wage during the last 7 days was $92 per day. What was his wage on the 8th day?
A)$83  B)$92  C)$90  D)$97  E)$104",D, Final Answer: C) $90
32,"A cow is tethered in the middle of a field with a 14 feet long rope. If the cow grazes 10 sq.ft. per day, then approximately what time will be taken by the cow to graze the whole field?
A)51 days  B)61 days  C)71 days  D)81 days  E)91 days",B, Final Answer: C. 71 days
33,"On a test the passing students had an average of 83, while the failing students had an average
of 55. If the overall class average was 76, what percent of the class passed?
A)44%  B)66%  C)68%  D)72%  E)75%",E," Let's denote the number of passing students as P and the number of failing students as F. We know that the average score of passing students is 83, the average score of failing students is 55, and the overall average score is 76.

We can set up the following equation using the weighted average formula:

(83P + 55F) / (P + F) = 76

Now, we need to find the percentage of the class that passed, which is (P / (P + F)) * 100.

To solve this problem, we can use the given information to create a system of equations. We can rewrite the equation as follows:

83P + 55F = 76(P + F)

Now, let's solve for P in terms of F:

83P - 76P = 76F - 55F
7P = 21F
P = 3F

Now, we can find the percentage of the class that passed:

(P / (P + F)) * 100 = (3F / (3F + F)) * 100
(3F / 4F) * 100 = (3/4) * 100
0.75 * 100 = 75

Final Answer: 'E'. '75'"
34,"A company contracts to paint 3 houses. Mr.Brown can paint a house in 6 days while Mr.Black would take 8 days and Mr.Blue 12 days. After 8 days Mr.Brown goes on vacation and Mr. Black begins to work for a period of 6 days. How many days will it take Mr.Blue to complete the contract?
A)7  B)8  C)10  D)11  E)12",D, Final Answer: C) 10 days
35,"There is well of depth 30m and frog is at bottom of the well. He jumps 3m up one day and falls back 2m down the same day. How many days will it take for the frog to come out of the well?
A)25 days  B)26 days  C)27 days  D)28 days  E)29 days",D, Final Answer: 'B'. '26'
36,"A student instead of finding the value of 7/8 of a number, found the value of 7/18 of the number. If his answer differed from the actual one by 770, find the that number.
A)1584  B)2520  C)1728  D)1656  E)None",A," Let's denote the unknown number as 'x'.

The student found the value of 7/18 of the number, which can be represented as (7/18)x.

The actual value of 7/8 of the number is (7/8)x.

According to the problem, the difference between the actual value and the student's value is 770.

So, we can set up the following equation:

(7/8)x - (7/18)x = 770

To solve for x, we first need to find a common denominator for the fractions. The least common multiple of 8 and 18 is 72.

Now, we can rewrite the equation with the common denominator:

(7 * 9/72)x - (7 * 4/72)x = 770

Simplify the equation:

(63/72)x - (28/72)x = 770

Combine the fractions:

(35/72)x = 770

Now, we can solve for x by multiplying both sides of the equation by the reciprocal of (35/72):

x = 770 * (72/35)

x = 1584

Final Answer: 'A'. '1584'"
37,"In how many ways can a teacher in a kindergarten school arrange a group of 3 children (Susan, Tim and Zen) on 3 identical chairs in a straight line so that Susan is on the left of Tim?
A)7  B)3  C)2  D)1  E)6",B, Final Answer: B)3
38,"Sharon works for 5 hours to earn enough tips to buy an ice cream cake, while Karen works for 4. After how many hours will they be able to buy the cake together?
A)1 hour  B)2 hours  C)3 hours  D)4 hours  E)5 hours",C," Let's think step by step.

1. First, we need to find out how much Sharon earns per hour. Since she works for 5 hours to earn enough tips for the ice cream cake, we can assume that the total amount of tips she earns is equal to 5 times her hourly rate.

2. Similarly, Karen works for 4 hours to earn enough tips for the ice cream cake. So, the total amount of tips she earns is equal to 4 times her hourly rate.

3. Now, we need to find out how many hours they will need to work together to earn enough tips for the ice cream cake. To do this, we can add their hourly rates together and then divide the total cost of the ice cream cake by their combined hourly rate.

4. Let's assume the cost of the ice cream cake is C. Sharon's hourly rate is S, and Karen's hourly rate is K.

5. The combined hourly rate of Sharon and Karen is S + K.

6. The number of hours they need to work together to earn enough tips for the ice cream cake is C / (S + K).

7. Since we don't have the actual values for C, S, and K, we can't calculate the exact number of hours. However, we can analyze the given options:

A) 1 hour
B) 2 hours
C) 3 hours
D) 4 hours
E) 5 hours

8. If Sharon and Karen work together, they will earn more tips per hour than working individually. This means that they will need fewer hours to earn enough tips for the ice cream cake.

9. Since Sharon works for 5 hours and Karen works for 4 hours individually, working together, they will need fewer than 5 hours.

10. Therefore, the final answer is:

Final Answer: 'B'. '2 hours'"
39,"A hollow cube of size 5cm is taken, with the thickness of 1cm. It is made of smaller cubes of size 1cm .If the outer surface of the cube is painted how many faces of the smaller cubes remain unpainted?
A)438  B)550  C)500  D)450  E)498",A, Final Answer: 'D'. '450'
40,"Points A, B, C, D lie in this order on the circumference of a circle. Minor arc AC is 160°, and minor arc BD is 150°. If B bisects minor arc AC, then what is the measure of minor arc AD?
A)80°  B)130°  C)140°  D)160°  E)220°",B, Final Answer: B. 130°
41,"The sum of k consecutive integers is 51. If the least integer is -50, then k =
A)40  B)62  C)82  D)92  E)102",E," Let's think step by step.

We are given that the sum of k consecutive integers is 51, and the least integer is -50.

Let's denote the least integer as a, and the k consecutive integers as a, a+1, a+2, ..., a+k-1.

The sum of these k consecutive integers can be represented as:

a + (a+1) + (a+2) + ... + (a+k-1) = 51

We can rewrite this as:

k * a + (1 + 2 + ... + k-1) = 51

The sum of the first (k-1) natural numbers is given by the formula:

Sum = (k-1) * k / 2

So, we have:

k * a + (k-1) * k / 2 = 51

Now, we know that a = -50. Let's substitute this value into the equation:

k * (-50) + (k-1) * k / 2 = 51

Simplify the equation:

-50k + (k^2 - k) / 2 = 51

Multiply both sides by 2 to eliminate the fraction:

-100k + k^2 - k = 102

Rearrange the equation:

k^2 - 101k - 102 = 0

Now, we need to find the value of k that satisfies this quadratic equation. We can use the quadratic formula:

k = (-b ± √(b^2 - 4ac)) / 2a

In our case, a = 1, b = -101, and c = -102.

k = (101 ± √(101^2 - 4 * 1 * (-102))) / 2

k = (101 ± √(10201 + 408)) / 2

k = (101 ± √10609) / 2

k = (101 ± 103) / 2

We have two possible values for k:

k1 = (101 + 103) / 2 = 204 / 2 = 102
k2 = (101 - 103) / 2 = -2 / 2 = -1

Since k must be a positive integer, we discard the negative value.

Final Answer: 'E'. '102'"
42,"Mr.Sam takes 17 hours to go by train to a certain city and return by car. He loses 4 hours if he goes both ways by train. How long would he have taken if he had traveled by car in both ways?
A)22 hrs  B)18 hrs  C)16 hrs  D)20 hrs  E)13 hrs",E," Let's denote the time it takes Mr. Sam to travel by train to the city and back as T, and the time it takes him to travel by car to the city and back as C.

From the problem, we know that:

1) T + C = 17 (Mr. Sam takes 17 hours to go by train to a certain city and return by car)

2) T = C - 4 (He loses 4 hours if he goes both ways by train)

We need to find the value of C.

First, let's substitute the value of T from equation (2) into equation (1):

(C - 4) + C = 17

Now, let's solve for C:

2C - 4 = 17
2C = 21
C = 10.5

So, Mr. Sam would have taken 10.5 hours if he had traveled by car in both ways.

Final Answer: 'C'. '10.5'"
43,"Let A and B be independent events with P (A) = 0.2 and P(B) = 0.8. Find P(A/B)?
A)0.2  B)0.4  C)0.6  D)1.2  E)1.5",A, Final Answer: B. 0.4
44,"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration?
A)10  B)11.5  C)12.5  D)13.5  E)15",C, Final Answer: B. 11.5
45,"A jeep travels a certain distance taking 6 hours in the forward journey. During the return journey, it increased its speed by 12km/hr and took 4 hours. What is the distance travelled by the jeep?
A)126km  B)144km  C)127km  D)228km  E)128km",B," Let's denote the speed of the jeep during the forward journey as 'x' km/hr. The distance traveled during the forward journey can be calculated using the formula:

Distance = Speed × Time

So, the distance traveled during the forward journey is x × 6.

During the return journey, the jeep increased its speed by 12 km/hr, so its speed was (x + 12) km/hr. The time taken for the return journey was 4 hours. Therefore, the distance traveled during the return journey is (x + 12) × 4.

Since the distance traveled during the forward and return journeys is the same, we can set up an equation:

x × 6 = (x + 12) × 4

Now, let's solve for x:

6x = 4x + 48
2x = 48
x = 24

So, the speed of the jeep during the forward journey was 24 km/hr. Now, we can find the distance traveled during the forward journey:

Distance = Speed × Time
Distance = 24 × 6
Distance = 144 km

Final Answer: 'B'. '144'"
46,"A book was sold for Rs 27.50 with a profit of 10%. If it were sold for Rs. 25.75, then would have been percentage of profit and loss ?
A)2% Profit  B)3% Profit  C)2% Loss  D)3% Loss  E)4% Loss",B," Step 1: Find the cost price of the book.

We know that the book was sold for Rs 27.50 with a profit of 10%. Let's denote the cost price as CP.

Profit = Selling Price (SP) - Cost Price (CP)
10% of CP = SP - CP
0.1 * CP = 27.50 - CP

Step 2: Solve for CP.

0.1 * CP + CP = 27.50
1.1 * CP = 27.50
CP = 27.50 / 1.1
CP = 25

Step 3: Calculate the new profit or loss percentage when the book is sold for Rs 25.75.

New Selling Price (SP) = Rs 25.75

Profit or Loss = New SP - CP
Profit or Loss = 25.75 - 25
Profit or Loss = 0.75

Step 4: Calculate the percentage of profit or loss.

Percentage of Profit or Loss = (Profit or Loss / CP) * 100
Percentage of Profit or Loss = (0.75 / 25) * 100
Percentage of Profit or Loss = 3%

Since the new selling price is higher than the cost price, it's a profit.

Final Answer: 'B' 3% Profit"
47,"64 boys and 40 girls form a group for social work. During their membership drive, the same number of boys and girls joined the group. How many members does the group have now, if the ratio of boys to girls is 4:3?
A)277  B)288  C)200  D)277  E)168",E," Step 1: Determine the number of boys and girls who joined the group.

Since the ratio of boys to girls is 4:3, we can represent the number of boys who joined as 4x and the number of girls who joined as 3x.

Step 2: Set up an equation using the given information.

We know that the total number of boys in the group is 64, and the total number of girls is 40. So, we can write the equation:

64 + 4x = 40 + 3x

Step 3: Solve the equation for x.

Subtract 3x from both sides:

64 + x = 40

Subtract 40 from both sides:

x = 24

Step 4: Calculate the number of boys and girls who joined the group.

Number of boys who joined = 4x = 4 * 24 = 96
Number of girls who joined = 3x = 3 * 24 = 72

Step 5: Calculate the total number of members in the group.

Total members = (64 + 96) boys + (40 + 72) girls = 160 boys + 112 girls = 272 members

Final Answer: 'B' '272'"
48,"Alice wants to put up fencing around three sides of her rectangular yard and leave one side of 10 meters unfenced. If the yard has an area of 240 square meters, how many meters of fencing does she need?
A)58  B)62  C)66  D)70  E)74",A," Step 1: Find the dimensions of the rectangular yard.
We know that the area of the yard is 240 square meters and one side is 10 meters. Let's call the other side 'x'.

Area = Length × Width
240 = 10 × x

Step 2: Solve for 'x'.
Divide both sides by 10:
x = 240 / 10
x = 24

So, the dimensions of the yard are 10 meters by 24 meters.

Step 3: Calculate the perimeter of the three sides that need fencing.
Perimeter = Length + Width + Length
Perimeter = 10 + 24 + 10
Perimeter = 44 meters

Final Answer: 'B'. '44'"
49,"A train M leaves City A at 5 am and reaches City B at 9am. Another train N leaves City B at 7am and reaches City A at 1030am. At what time do the 2 trains cross one another?
A)1 hr 23 min  B)1 hr 15 min  C)1 hr 8 min  D)56 min  E)55 min",D, Final Answer: B) 1 hr 15 min
