,Question,Correct Answer,Gemma_9B Full
10,"If the population of a city increases by 5 % annually, what will be the population of the city in 2 years time if its current population is 78000?
A)81900  B)85995  C)85800  D)90000  E)None of these",B,"Here's how to solve the problem step-by-step:

**Step 1: Calculate the increase in population for the first year.**

* Increase = 5% of 78000 = (5/100) * 78000 = 3900

**Step 2: Calculate the population after the first year.**

* Population after year 1 = Current population + Increase = 78000 + 3900 = 81900

**Step 3: Calculate the increase in population for the second year.**

* Increase = 5% of 81900 = (5/100) * 81900 = 4095

**Step 4: Calculate the population after the second year.**

* Population after year 2 = Population after year 1 + Increase = 81900 + 4095 = 85995


**Final Answer: B. 85995** 
"
11,"In a row of children Neha is 12th from left end and Radha is 6th from right end. When Radha is shifted to left by 2 places and Neha is shifted to right by 2 places there 6 children between Radha and Neha. How many children are there in the row?
A)23  B)27  C)26  D)28  E)29",D,"Here's how to solve the problem step-by-step:

**1. Initial Positions:**

* Neha is 12th from the left.
* Radha is 6th from the right.

**2. Shifts:**

* Radha moves 2 places to the left, so she is now 4th from the right.
* Neha moves 2 places to the right, so she is now 14th from the left.

**3. Children Between:**

* Now there are 6 children between Radha and Neha.

**4.  Finding the Total:**

*  Since Radha is 4th from the right, there are 3 children to her right.
*  Since Neha is 14th from the left, there are 13 children to her left.
*  Adding these, along with Radha and Neha, gives us 3 + 13 + 1 + 1 = 18 children.


**Final Answer: None of the provided options are correct.** 
"
12,"The capacity of a tank of dimensions (8 m × 6 m × 2.5 m) is
A)120 litres  B)1200 litres  C)12000 litres  D)120000 litres  E)None of these",D,"Here's how to solve the problem:

**1. Calculate the volume of the tank:**

* Volume = length × width × height
* Volume = 8 m × 6 m × 2.5 m
* Volume = 120 cubic meters

**2. Convert cubic meters to liters:**

* 1 cubic meter = 1000 liters
* Volume = 120 cubic meters × 1000 liters/cubic meter
* Volume = 120,000 liters


**Final Answer: D. 120000** 
"
13,"x men working x hours per day can do x units of a work in x days. How much work can be completed by y men working y hours per day in y days?
A)x2/y2 units  B)y3/x2 units  C)x3/y2 units  D)y2/x2 units  E)None of these",B,"Here's how to solve this problem step-by-step:

**1. Understand the Relationship**

*  The problem states that *x* men working *x* hours per day can complete *x* units of work in *x* days. This means there's a relationship between the number of men, hours worked per day, days worked, and the amount of work completed.

**2.  Calculate Work Rate**

*  To find the work rate of one man for one day, divide the total work by the number of men, the number of days, and the hours worked per day: 
   Work rate = x units / (x men * x days * x hours/day) = 1 / x² units per man-day

**3.  Apply the Work Rate to the New Scenario**

*  Now we have *y* men working *y* hours per day for *y* days.  To find the total work completed, multiply the work rate by the new number of men, the number of days, and the hours worked per day:
   Total work = (1 / x²) units per man-day * y men * y days * y hours/day

**4. Simplify**

*  Simplify the expression:
   Total work = y³ / x² units

**Final Answer: B. y3/x2** 


"
14,"A man divides Rs 8600 among 5 sons, 4 daughters and 2 nephews. If each daughter receives four times as much as each nephew, and each son receives five as much as each nephew. How much does each daughter receive ?
A)Rs 400  B)Rs 500  C)Rs 600  D)Rs 700  E)Rs 800",E,"Here's how to solve the problem step-by-step:

**1. Define Variables:**

* Let 'x' represent the amount each nephew receives.

**2. Express Amounts Received by Others:**

* Each daughter receives 4 times the amount of a nephew: 4x
* Each son receives 5 times the amount of a nephew: 5x

**3. Set Up an Equation:**

* The total amount distributed is Rs 8600.  So: 
   5x (sons) + 4x (daughters) + 2x (nephews) = 8600

**4. Solve for x:**

* Combine like terms: 11x = 8600
* Divide both sides by 11: x = 781.82 (approximately)

**5. Calculate the Amount Each Daughter Receives:**

* Each daughter receives 4x: 4 * 781.82 = 3127.28 (approximately)

**Final Answer: None of the provided options are correct.** 


Let me know if you'd like to explore a similar problem with different values! 
"
15,"There is a 90% chance that a registered voter in Burghtown voted in the last election. If five registered voters are chosen at random, what is the approximate likelihood that exactly four of them voted in the last election?
A)26.2%  B)32.8%  C)43.7%  D)59.0%  E)65.6%",E,"Here's how to solve this problem:

**1. Identify the Distribution**

This problem involves a binomial distribution because:

* There are a fixed number of trials (5 voters).
* Each trial has two possible outcomes (voted or didn't vote).
* The probability of success (voting) is constant (90%).
* The trials are independent (one voter's choice doesn't affect another's).

**2.  Binomial Probability Formula**

The probability of getting exactly *k* successes in *n* trials is given by:

P(X = k) = (nCk) * p^k * (1-p)^(n-k)

Where:

* P(X = k) is the probability of *k* successes
* n is the number of trials
* k is the number of successes
* p is the probability of success on a single trial
* (nCk) is the binomial coefficient, calculated as n! / (k! * (n-k)!), which represents the number of ways to choose *k* items from a set of *n* items.

**3. Apply the Formula**

In our case:

* n = 5 (5 voters)
* k = 4 (4 voters voted)
* p = 0.9 (90% chance of voting)

Let's plug these values into the formula:

P(X = 4) = (5C4) * (0.9)^4 * (0.1)^1

**4. Calculate**

* (5C4) = 5! / (4! * 1!) = 5
* (0.9)^4 = 0.6561
* (0.1)^1 = 0.1

Therefore:

P(X = 4) = 5 * 0.6561 * 0.1 = 0.32805 

**5. Convert to Percentage**

Multiply by 100% to express the probability as a percentage:

0.32805 * 100% = 32.8%



**Final Answer: B. 32.8**"
16,"A rope 20 meters long is cut into two pieces. If the length of one piece of rope is 3 meters shorter than the length of the other, what is the length, in meters, of the longer piece of rope?
A)7.5  B)8.9  C)9.9  D)11.5  E)11.7",D,"Here's how to solve the problem step-by-step:

**1. Define Variables:**

* Let  'x' represent the length of the longer piece of rope.
* The shorter piece is 'x - 3' meters long.

**2. Set Up an Equation:**

* The total length of the rope is 20 meters, so: x + (x - 3) = 20

**3. Solve for x:**

* Combine like terms: 2x - 3 = 20
* Add 3 to both sides: 2x = 23
* Divide both sides by 2: x = 11.5

**4.  Identify the Answer:**

* The length of the longer piece of rope is 11.5 meters.



Final Answer: D. 11.5 
"
17,"A man spends 70% of his income. If his income increases by 20%, then what will be his new expenditure?
A)58.3%  B)62.5%  C)63.5%  D)64.5%  E)65.5%",A,"Here's how to solve the problem step-by-step:

**1. Assume an initial income:**

*  Let's assume the man's initial income is $100.

**2. Calculate the initial expenditure:**

* He spends 70% of his income, so his initial expenditure is 0.70 * $100 = $70.

**3. Calculate the income increase:**

* His income increases by 20%, so the increase is 0.20 * $100 = $20.

**4. Calculate the new income:**

* His new income is $100 + $20 = $120.

**5. Calculate the new expenditure:**

*  Since he spends 70% of his income, his new expenditure is 0.70 * $120 = $84.

**6. Calculate the percentage of new expenditure:**

*  The percentage of his new expenditure is ($84 / $120) * 100% = 70%.


**Final Answer:  None of the provided options are correct. The new expenditure will be 70% of the new income.** 
"
18,"Shweta rides at the rate of 10 km per hour but stops for 10 minutes to take rest at the end of every 15 km. How many hours will she take to cover 100 km
A)9 hours.  B)10 hours.  C)11 hours.  D)12 hours.  E)13 hours.",C,"Here's how to solve the problem step-by-step:

**1. Calculate the number of 15 km segments:**

* Shweta needs to cover 100 km.
* Each segment is 15 km long.
* Number of segments = 100 km / 15 km/segment = 6.67 segments.
* Since she can't cover a fraction of a segment, she'll cover 6 full segments.

**2. Calculate the time spent traveling:**

* Time = Distance / Speed
* Time for 6 segments = 6 segments * 15 km/segment / 10 km/hour = 9 hours

**3. Calculate the time spent resting:**

* She rests for 10 minutes at the end of each segment.
* Total resting time = 6 segments * 10 minutes/segment = 60 minutes = 1 hour

**4. Calculate the total time:**

* Total time = Traveling time + Resting time
* Total time = 9 hours + 1 hour = 10 hours



Final Answer: 'B'. '10' 
"
19,"On dividing 2272 and 875 by a 3-digit number N, we get the same remainder. The sum of the digits of N is:
A)10  B)11  C)12  D)13  E)14",A,"Here's how to solve the problem step-by-step:

**1. Understand the Problem:**

We are given that when 2272 and 875 are divided by a 3-digit number 'N', they leave the same remainder.  This means:

* 2272 = kN + R  (where k is the quotient and R is the remainder)
* 875 = jn + R (where j is the quotient)

**2.  Express the Remainder:**

Since the remainder is the same in both divisions, we can write:

2272 - kN = 875 - jn

**3.  Rearrange the Equation:**

Let's rearrange the equation to group the terms with 'N':

kN - jn = 2272 - 875

kN - jn = 1397

**4.  Consider the Divisibility:**

*  'N' is a 3-digit number, so it can be represented as 100a + 10b + c (where a, b, and c are digits).
*  Substitute this value of 'N' into the equation from step 3.

**5.  Analyze the Equation:**

You'll now have an equation with 'a', 'b', 'c', 'k', and 'j'.  The key is to analyze this equation to find possible values for 'a', 'b', and 'c' that satisfy the conditions.

**6.  Sum of Digits:**

Once you find a possible value for 'N', calculate the sum of its digits (a + b + c) and choose the corresponding option.



Let me know if you'd like me to work through the specific substitution and analysis steps. 
"
20,"there are more than 501 students in a school such that 20% of them exactly took physics and 28% of them exactly took math. What could be the least possible no of students in the school?
A)550  B)570  C)600  D)700  E)none of these",E,"Here's how to solve the problem step-by-step:

**1. Understand the Problem:**

We need to find the smallest number of students in a school where at least 20% took physics and at least 28% took math.

**2. Set up Variables:**

* Let 'x' represent the total number of students in the school.

**3.  Formulate Inequalities:**

*  20% of the students took physics: 0.20x ≥  number of physics students
*  28% of the students took math: 0.28x ≥ number of math students

**4.  Consider the ""At Least"" Condition:**

Since the problem states ""at least"" 20% and 28%, we need to find the smallest 'x' that satisfies these inequalities.

**5.  Find the Least Common Multiple:**

To find the smallest possible number of students, we need to find the least common multiple (LCM) of the numbers represented by the percentages.

*  20% = 0.20 = 1/5
*  28% = 0.28 = 7/25

The LCM of 5 and 25 is 25.  

**6.  Calculate the Minimum Number of Students:**

*  We know 0.20x ≥ number of physics students and 0.28x ≥ number of math students.
*  Since the LCM is 25, we need to find the smallest multiple of 25 that is greater than or equal to the minimum number of students required for each subject.

*  Let's try multiples of 25: 25, 50, 75...
*  We need to find the smallest multiple of 25 where 20% and 28% of that number are whole numbers.

*  We find that 550 works:
    * 20% of 550 = 110
    * 28% of 550 = 154


**Final Answer: A. 550** 
"
21,"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold?
A)40  B)200  C)380  D)400  E)3200",D,"Here's how to solve the problem step-by-step:

**1.  Understanding the First Draw:**

* 20 white marbles were pulled out, painted black, and put back. This means 20 marbles are now black.

**2. Understanding the Second Draw:**

* 1 black marble was pulled out of 20. This means the percentage of black marbles in the bag is (1/20) * 100% = 5%.

**3.  Calculating the Total Number of Marbles:**

*  Since 5% of the marbles are black, and we know there are 20 black marbles, we can set up a proportion: 
   5/100 = 20/Total number of marbles

*  Solving for the total number of marbles:
   Total number of marbles = (20 * 100) / 5 = 400

**Final Answer: D. 400** 


"
22,"At an election meeting 10 speakers are to address the meeting. The only protocol to be observed is that whenever they speak the pm should speak before the mp and the mp should speak before the mla. In how many ways can the meeting be held?
A)10!/3  B)10!/6  C)10!/2  D)10!/4  E)10!/5",B,"Here's how to solve this problem:

**1.  Identify the Constraints:**

* The PM must speak before the MP.
* The MP must speak before the MLA.

**2.  Treat the Groups as Units:**

*  Consider the PM, MP, and MLA as a single unit since their order is fixed.  We now have 7 remaining speakers.

**3.  Arrange the Units:**

* We have 8 units to arrange (the PM-MP-MLA group and the 7 other speakers).  This can be done in 8! ways.

**4.  Arrange Within the Units:**

*  Within the PM-MP-MLA group, there are 3! ways to arrange them.

**5.  Calculate the Total Arrangements:**

*  The total number of arrangements is 8! * 3! 

**6. Simplify:**

* 8! * 3! = 40320 * 6 = 241920



**Final Answer:  None of the provided options are correct. The answer is 241920.** 
"
23,"Roberts has a property worth of $1023.65. But in a record his property worth is written as greatest positive even integer less than or equal to his property worth and it is divisible by 100. Find the difference between actual property and recorded property worth?
A)23.65  B)1000  C)35.62  D)2.65  E)1023.65",A,"Here's how to solve the problem step-by-step:

1. **Identify the largest even number less than $1023.65:**  This number is $1022.

2. **Check if the number is divisible by 100:**  $1022 is not divisible by 100.

3. **Find the greatest even number less than $1023.65 that is divisible by 100:** This number is $1000.

4. **Calculate the difference between the actual property worth and the recorded property worth:** $1023.65 - $1000 = $23.65



Final Answer: A. 23.65 
"
24,"[5 + ? × 19 - 15 - 7]/[13 × 13 - 156] = 6
A)4  B)4.5  C)5  D)5.5  E)6.5",C,"Here's how to solve the problem step-by-step:

**1. Simplify the denominator:**

* 13 × 13 - 156 = 169 - 156 = 13

**2. Rewrite the equation:**

*  [5 + ? × 19 - 15 - 7] / 13 = 6

**3. Simplify the numerator:**

* [5 + ? × 19 - 22] / 13 = 6
*  (? × 19 - 17) / 13 = 6

**4. Multiply both sides by 13:**

* ? × 19 - 17 = 78

**5. Add 17 to both sides:**

* ? × 19 = 95

**6. Divide both sides by 19:**

* ? = 5


**Final Answer: A. 5** 
"
25,"Peter wants to find 10 additional people to form a scavenger hunt team with him. If he has 10 friends who would like to participate, how many choices does he have for forming his team?
A)0  B)1  C)2  D)3  E)4",B,"Here's how to solve this problem:

* **Understanding the Problem:** Peter needs to choose 10 people from a group of 10 friends to form his team.  

* **Combinations:** This is a combination problem because the order in which he chooses the friends doesn't matter.

* **Formula:** The number of combinations of choosing *r* items from a set of *n* items is given by: nCr = n! / (r! * (n-r)!)

* **Applying the Formula:**
    * n = 10 (total number of friends)
    * r = 10 (number of people he needs to choose)

    10C10 = 10! / (10! * (10-10)!) 
    10C10 = 10! / (10! * 0!)
    10C10 = 1  (Remember 0! = 1)

* **Answer:** Peter has **1** choice for forming his team. He can choose all 10 of his friends.



Final Answer: B. 1 
"
26,"IF one gallon of soft drink is made of 40% orange juice and 60% water, how many additional gallons of orange juice must be mixed in order to make the orange juice 60% of the soft drink?
A)0.5  B)1  C)1.25  D)1.5  E)2",A,"Here's how to solve this problem step-by-step:

**1. Define Variables**

* Let  'x' be the number of additional gallons of orange juice needed.

**2. Set Up the Equation**

*  We start with 1 gallon of soft drink containing 0.4 gallons of orange juice (40%).
*  Adding 'x' gallons of orange juice will increase the total orange juice to 0.4 + x gallons.
*  The total volume of the soft drink will become 1 + x gallons.
*  We want the orange juice to make up 60% of the final mixture: 
   (0.4 + x) / (1 + x) = 0.6

**3. Solve for x**

* Multiply both sides by (1 + x): 0.4 + x = 0.6(1 + x)
* Distribute: 0.4 + x = 0.6 + 0.6x
* Subtract 0.6x from both sides: 0.4 + 0.4x = 0.6
* Subtract 0.4 from both sides: 0.4x = 0.2
* Divide both sides by 0.4: x = 0.5

**Final Answer: A. 0.5** 


"
27,"Printer A and Printer B can each print 1⁄2 page per second. How long will it take both printers working together to print 100 pages?
A)25 seconds  B)50 seconds  C)100 seconds  D)200 seconds  E)400 seconds",C,"Here's how to solve the problem step-by-step:

**1. Find the combined printing rate:**

* Printer A prints 1/2 page per second.
* Printer B prints 1/2 page per second.
* Together, they print (1/2) + (1/2) = 1 page per second.

**2. Calculate the time to print 100 pages:**

*  If they print 1 page per second, it will take 100 seconds to print 100 pages.


Final Answer: C. 100 
"
28,"Train A leaves a station every 16 minutes and Train B leaves every 17 minutes. If both trains just left the station simultaneously, how long until they do so again?
A)272 minutes  B)304 minutes  C)190 minutes  D)70 minutes  E)35 minutes",A,"Here's how to solve this problem:

**1. Find the Least Common Multiple (LCM):**

* The LCM is the smallest number that is a multiple of both 16 and 17.  

* Prime factorize 16 and 17:
    * 16 = 2 x 2 x 2 x 2 
    * 17 = 17 (prime number)

*  Since 16 and 17 share no common prime factors, their LCM is simply their product: 16 x 17 = 272

**2. Interpret the Result:**

* The LCM of 16 and 17 is 272. This means that after 272 minutes, both trains will have left the station at the same time again.



**Final Answer: A. 272** 
"
29,"At my favorite fruit stand, an orange costs 18 dollars, a pineapple costs 27 dollars, and a grape costs 15 dollars. Using the same logic, can you tell how much a mango costs?
A)22 dollars  B)15 dollars  C)20 dollars  D)18 dollars  E)10 dollars",B,"This problem is designed to trick you! There's no logical pattern based on the given prices.  

The fruit stand could price mangoes at any amount.  

**Final Answer:  None of the above** 
"
30,"A sporting goods store carries only yellow and white golf balls. At the beginning of the day it had 600 golf balls in stock, and by the end of the day it had sold 80% of its inventory of golf balls. If the store sold an equal number of yellow and white golf balls, and in doing so sold all of its white golf balls, how many yellow golf balls did the store have to begin the day?
A)80  B)120  C)240  D)320  E)360",E,"Here's how to solve the problem step-by-step:

**1. Calculate the number of golf balls sold:**

* The store sold 80% of its 600 golf balls, so they sold 0.80 * 600 = 480 golf balls.

**2.  Determine the number of white golf balls:**

* Since the store sold an equal number of yellow and white golf balls, and they sold all their white golf balls, they sold 480 / 2 = 240 white golf balls.

**3. Calculate the number of yellow golf balls:**

*  The store started with 600 golf balls and sold 240 white golf balls, so they must have started with 600 - 240 = 360 yellow golf balls.




Final Answer: E. 360 
"
31,"The average wages of a worker during a fortnight comprising of 15 consecutive working days was $90 per day. During the first 7 days, his average wage was $87 per day and the average wage during the last 7 days was $92 per day. What was his wage on the 8th day?
A)$83  B)$92  C)$90  D)$97  E)$104",D,"Here's how to solve the problem step-by-step:

**1. Calculate the total earnings for the fortnight:**

* Total earnings = Average wage per day * Number of working days
* Total earnings = $90 * 15 = $1350

**2. Calculate the total earnings for the first 7 days:**

* Total earnings for first 7 days = Average wage for first 7 days * Number of days
* Total earnings for first 7 days = $87 * 7 = $609

**3. Calculate the total earnings for the last 7 days:**

* Total earnings for last 7 days = Average wage for last 7 days * Number of days
* Total earnings for last 7 days = $92 * 7 = $644

**4. Calculate the earnings on the 8th day:**

* Earnings on the 8th day = Total earnings for fortnight - Total earnings for first 7 days - Total earnings for last 7 days
* Earnings on the 8th day = $1350 - $609 - $644 = $97


**Final Answer: D. 97** 
"
32,"A cow is tethered in the middle of a field with a 14 feet long rope. If the cow grazes 10 sq.ft. per day, then approximately what time will be taken by the cow to graze the whole field?
A)51 days  B)61 days  C)71 days  D)81 days  E)91 days",B,"Here's how to solve this problem:

**1. Understand the Shape:**

* The cow is tethered to a central point, so it can graze in a circular area.

**2. Calculate the Area:**

* The radius of the circular grazing area is the length of the rope, which is 14 feet.
* Area of a circle = π * radius² 
* Area = π * (14 feet)² 
* Area ≈ 615.75 square feet

**3. Determine the Grazing Time:**

* The cow grazes 10 square feet per day.
* Time = Total Area / Grazing Area per day
* Time ≈ 615.75 square feet / 10 square feet/day
* Time ≈ 61.575 days

**4. Round to the Nearest Whole Number:**

* Since we're looking for an approximate answer, round 61.575 days to 62 days.



**Final Answer: B. 61** 
"
33,"On a test the passing students had an average of 83, while the failing students had an average
of 55. If the overall class average was 76, what percent of the class passed?
A)44%  B)66%  C)68%  D)72%  E)75%",E,"Here's how to solve this problem step-by-step:

**1. Define Variables**

* Let  'p' represent the percentage of students who passed.
* Let 'f' represent the percentage of students who failed.

**2. Set Up Equations**

* We know that p + f = 100% (the total class percentage)
* We also know the weighted average: 0.83p + 0.55f = 76 

**3. Solve for One Variable**

* Solve the first equation for 'f':  f = 100% - p

**4. Substitute**

* Substitute the value of 'f' from step 3 into the second equation:
   0.83p + 0.55(100% - p) = 76

**5. Simplify and Solve for 'p'**

* 0.83p + 55 - 0.55p = 76
* 0.28p = 21
* p = 75%

**Final Answer: E. 75** 


"
