,Question,Correct Answer,Ministral 8B
42,"Mr.Sam takes 17 hours to go by train to a certain city and return by car. He loses 4 hours if he goes both ways by train. How long would he have taken if he had traveled by car in both ways?
A)22 hrs  B)18 hrs  C)16 hrs  D)20 hrs  E)13 hrs",E,"Let's break down the problem step by step:

1. Let \( T \) be the time it takes for Mr. Sam to travel by train to the city and back.
2. Let \( C \) be the time it takes for Mr. Sam to travel by car to the city and back.

From the problem, we know:
- Mr. Sam takes 17 hours to go by train to the city and return by car.
- He loses 4 hours if he goes both ways by train.

So, if he goes both ways by train, the total time would be \( T \), and we know that \( T = 17 - 4 = 13 \) hours.

Now, we need to find \( C \), the time it would take if he had traveled by car in both ways.

Since the time taken by train for one way is the same as the time taken by car for one way, we can denote the time taken by train for one way as \( T/2 \) and the time taken by car for one way as \( C/2 \).

The total time for the train and car combination is:
\[ T/2 + C/2 = 17 \]

We already know \( T = 13 \), so:
\[ 13/2 + C/2 = 17 \]
\[ 6.5 + C/2 = 17 \]
\[ C/2 = 17 - 6.5 \]
\[ C/2 = 10.5 \]
\[ C = 21 \]

So, if Mr. Sam had traveled by car in both ways, it would have taken him 21 hours.

Final Answer: 'E'. 21 hrs"
43,"Let A and B be independent events with P (A) = 0.2 and P(B) = 0.8. Find P(A/B)?
A)0.2  B)0.4  C)0.6  D)1.2  E)1.5",A,"To find P(A/B), we need to understand that P(A/B) is the conditional probability of event A given that event B has occurred. The formula for conditional probability is:

P(A/B) = P(A ∩ B) / P(B)

Since A and B are independent events, the probability of both A and B occurring together (A ∩ B) is the product of their individual probabilities:

P(A ∩ B) = P(A) * P(B)

Given P(A) = 0.2 and P(B) = 0.8, we can calculate P(A ∩ B):

P(A ∩ B) = 0.2 * 0.8 = 0.16

Now, we can find P(A/B):

P(A/B) = P(A ∩ B) / P(B) = 0.16 / 0.8 = 0.2

Final Answer: A. 0.2"
44,"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration?
A)10  B)11.5  C)12.5  D)13.5  E)15",C,Final Answer: 'B'. 11.5
45,"A jeep travels a certain distance taking 6 hours in the forward journey. During the return journey, it increased its speed by 12km/hr and took 4 hours. What is the distance travelled by the jeep?
A)126km  B)144km  C)127km  D)228km  E)128km",B,"To solve this problem, we need to set up equations based on the information given.

Let's denote:
- \( d \) as the distance traveled by the jeep.
- \( v_f \) as the speed of the jeep during the forward journey.
- \( v_r \) as the speed of the jeep during the return journey.

From the problem, we know:
1. The jeep takes 6 hours to travel the distance \( d \) in the forward journey.
2. The jeep takes 4 hours to travel the same distance \( d \) in the return journey, but at a speed increased by 12 km/hr.

We can write the following equations based on the relationship between speed, distance, and time:
\[ d = v_f \times 6 \]
\[ d = (v_f + 12) \times 4 \]

Since both equations equal \( d \), we can set them equal to each other:
\[ v_f \times 6 = (v_f + 12) \times 4 \]

Now, let's solve for \( v_f \):
\[ 6v_f = 4v_f + 48 \]
\[ 6v_f - 4v_f = 48 \]
\[ 2v_f = 48 \]
\[ v_f = 24 \text{ km/hr} \]

Now that we have \( v_f \), we can find the distance \( d \):
\[ d = v_f \times 6 \]
\[ d = 24 \times 6 \]
\[ d = 144 \text{ km} \]

Final Answer: B. 144km"
46,"A book was sold for Rs 27.50 with a profit of 10%. If it were sold for Rs. 25.75, then would have been percentage of profit and loss ?
A)2% Profit  B)3% Profit  C)2% Loss  D)3% Loss  E)4% Loss",B,"To solve this problem, we need to first determine the cost price of the book and then calculate the profit or loss percentage if the book were sold for Rs. 25.75.

1. **Determine the Cost Price (CP):**
   The book was sold for Rs. 27.50 with a profit of 10%. Let's denote the cost price as \( CP \).

   The selling price (SP) with 10% profit is given by:
   \[
   SP = CP + \text{Profit}
   \]
   \[
   27.50 = CP + 0.10 \times CP
   \]
   \[
   27.50 = 1.10 \times CP
   \]
   \[
   CP = \frac{27.50}{1.10}
   \]
   \[
   CP = 25
   \]

2. **Calculate the Profit or Loss if Sold for Rs. 25.75:**
   Now, let's find out the profit or loss if the book were sold for Rs. 25.75.

   The new selling price (SP') is Rs. 25.75.

   The profit or loss can be calculated as:
   \[
   \text{Profit or Loss} = SP' - CP
   \]
   \[
   \text{Profit or Loss} = 25.75 - 25
   \]
   \[
   \text{Profit or Loss} = 0.75
   \]

3. **Determine the Percentage of Profit or Loss:**
   The percentage of profit or loss is given by:
   \[
   \text{Percentage of Profit or Loss} = \left( \frac{\text{Profit or Loss}}{CP} \right) \times 100
   \]
   \[
   \text{Percentage of Profit or Loss} = \left( \frac{0.75}{25} \right) \times 100
   \]
   \[
   \text{Percentage of Profit or Loss} = 0.03 \times 100
   \]
   \[
   \text{Percentage of Profit or Loss} = 3\%
   \]

Since the book was sold for Rs. 25.75, which is less than the cost price, it results in a loss. Therefore, the percentage of loss is 3%.

Final Answer: D. 3% Loss"
47,"64 boys and 40 girls form a group for social work. During their membership drive, the same number of boys and girls joined the group. How many members does the group have now, if the ratio of boys to girls is 4:3?
A)277  B)288  C)200  D)277  E)168",E,"To solve this problem, we need to determine how many boys and girls joined the group and then calculate the total number of members.

1. **Initial Ratio and Numbers:**
   - The initial ratio of boys to girls is 4:3.
   - There are 64 boys and 40 girls initially.

2. **Determine the Number of Boys and Girls Joined:**
   - Let \( x \) be the number of boys and girls who joined the group.
   - After the new members joined, the ratio of boys to girls remains 4:3.

3. **Set Up the Equation:**
   - The new number of boys will be \( 64 + x \).
   - The new number of girls will be \( 40 + x \).
   - The ratio of boys to girls is \( \frac{64 + x}{40 + x} = \frac{4}{3} \).

4. **Solve for \( x \):**
   \[
   \frac{64 + x}{40 + x} = \frac{4}{3}
   \]
   Cross-multiply to solve for \( x \):
   \[
   3(64 + x) = 4(40 + x)
   \]
   \[
   192 + 3x = 160 + 4x
   \]
   \[
   192 - 160 = 4x - 3x
   \]
   \[
   32 = x
   \]

5. **Calculate the New Total Number of Members:**
   - The number of boys after the new members joined is \( 64 + 32 = 96 \).
   - The number of girls after the new members joined is \( 40 + 32 = 72 \).
   - The total number of members is \( 96 + 72 = 168 \).

**Final Answer:** The group now has 168 members."
48,"Alice wants to put up fencing around three sides of her rectangular yard and leave one side of 10 meters unfenced. If the yard has an area of 240 square meters, how many meters of fencing does she need?
A)58  B)62  C)66  D)70  E)74",A,"To solve this problem, we need to determine the dimensions of Alice's rectangular yard and then calculate the amount of fencing needed.

1. **Determine the dimensions of the yard:**
   - Let the length of the yard be \( L \) meters and the width be \( W \) meters.
   - We know that one side (width) is 10 meters unfenced, so \( W = 10 \) meters.
   - The area of the yard is given as 240 square meters, so:
     \[
     L \times W = 240
     \]
     Substituting \( W = 10 \) meters:
     \[
     L \times 10 = 240
     \]
     Solving for \( L \):
     \[
     L = \frac{240}{10} = 24 \text{ meters}
     \]

2. **Calculate the total length of fencing needed:**
   - Alice wants to fence three sides of the yard.
   - The total length of fencing needed is the sum of the two lengths and one width:
     \[
     \text{Total fencing} = L + L + W = 2L + W
     \]
     Substituting \( L = 24 \) meters and \( W = 10 \) meters:
     \[
     \text{Total fencing} = 2 \times 24 + 10 = 48 + 10 = 58 \text{ meters}
     \]

3. **Conclusion:**
   - The total amount of fencing Alice needs is 58 meters.

Final Answer: A. 58"
49,"A train M leaves City A at 5 am and reaches City B at 9am. Another train N leaves City B at 7am and reaches City A at 1030am. At what time do the 2 trains cross one another?
A)1 hr 23 min  B)1 hr 15 min  C)1 hr 8 min  D)56 min  E)55 min",D,"To solve this problem, we need to determine the time at which the two trains cross each other. Let's break it down step by step:

1. **Calculate the travel time of Train M:**
   - Train M leaves City A at 5 am and reaches City B at 9 am.
   - Travel time of Train M = 9 am - 5 am = 4 hours.

2. **Calculate the travel time of Train N:**
   - Train N leaves City B at 7 am and reaches City A at 10:30 am.
   - Travel time of Train N = 10:30 am - 7 am = 3 hours and 30 minutes.

3. **Determine the relative speeds of the trains:**
   - Let the distance between City A and City B be \( D \).
   - Speed of Train M = \( \frac{D}{4} \) (since it covers distance \( D \) in 4 hours).
   - Speed of Train N = \( \frac{D}{3.5} \) (since it covers distance \( D \) in 3 hours and 30 minutes).

4. **Calculate the time taken for the trains to cross each other:**
   - Let \( t \) be the time taken for the trains to cross each other after Train N starts.
   - In time \( t \), Train M will cover a distance of \( \frac{D}{4} \times t \).
   - In time \( t \), Train N will cover a distance of \( \frac{D}{3.5} \times t \).
   - The sum of these distances should be equal to the distance \( D \) between the two cities.
   - Therefore, we have the equation:
     \[
     \frac{D}{4} \times t + \frac{D}{3.5} \times t = D
     \]
   - Simplifying the equation:
     \[
     \left( \frac{1}{4} + \frac{1}{3.5} \right) t = 1
     \]
     \[
     \left( \frac{1}{4} + \frac{2}{7} \right) t = 1
     \]
     \[
     \left( \frac{7}{28} + \frac{8}{28} \right) t = 1
     \]
     \[
     \frac{15}{28} t = 1
     \]
     \[
     t = \frac{28}{15} \text{ hours}
     \]
     \[
     t = 1 \text{ hour and } \frac{13}{15} \text{ hours}
     \]
     \[
     t = 1 \text{ hour and } 52 \text{ minutes}
     \]

5. **Determine the crossing time:**
   - Train N starts at 7 am, so the trains will cross each other at:
     \[
     7 \text{ am} + 1 \text{ hour and } 52 \text{ minutes} = 8 \text{ am} 52 \text{ minutes}
     \]

However, this calculation does not match any of the given options. Let's re-evaluate the problem:

- The correct approach is to consider the relative speeds and the time they travel before crossing.

6. **Re-evaluate the crossing time:**
   - Let's consider the time Train M has been traveling when Train N starts at 7 am.
   - Train M has been traveling for 2 hours (from 5 am to 7 am).
   - In the remaining time, both trains will be moving towards each other.
   - The relative speed of the two trains is \( \frac{D}{4} + \frac{D}{3.5} = \frac{7D + 8D}{28} = \frac{15D}{28} \).
   - The remaining distance to be covered by both trains together is \( D \).
   - Time taken to cover this distance at the relative speed is:
     \[
     t = \frac{D}{\frac{15D}{28}} = \frac{28}{15} \text{ hours}
     \]
     \[
     t = 1 \text{ hour and } 52 \text{ minutes}
     \]

7. **Final crossing time:**
   - Train N starts at 7 am, so the trains will cross each other at:
     \[
     7 \text{ am} + 1 \text{ hour and } 52 \text{ minutes} = 8 \text{ am} 52 \text{ minutes}
     \]

This calculation still does not match any of the given options. Let's recheck the problem statement and the calculations.

8. **Recheck the problem statement:**
   - The problem states that Train M leaves City A at 5 am and reaches City B at 9 am.
   - Train N leaves City B at 7 am and reaches City A at 10:30 am.
   - We need to find the time when the two trains cross each other.

9. **Correct approach:**
   - Train M travels for 4 hours to cover the distance \( D \).
   - Train N travels for 3 hours and 30 minutes to cover the distance \( D \).
   - The relative speed of the two trains is \( \frac{D}{4} + \frac{D}{3.5} = \frac{7D + 8D}{28} = \frac{15D}{28} \).
   - The time taken for the trains to cross each other is:
     \[
     t = \frac{D}{\frac{15D}{28}} = \frac{28}{15} \text{ hours}
     \]
     \[
     t = 1 \text{ hour and } 52 \text{ minutes}
     \]

10. **Final crossing time:**
    - Train N starts at 7 am, so the trains will cross each other at:
      \[
      7 \text{ am} + 1 \text{ hour and } 52 \text{ minutes} = 8 \text{ am} 52 \text{ minutes}
      \]

This calculation still does not match"
50,"A number is as much greater than 36 as is less than 86. Find the Number.
A)60  B)56  C)51  D)61  E)41",D,"To solve this problem, we need to find a number that is as much greater than 36 as it is less than 86. Let's denote this number as \( x \).

The problem states that the number is as much greater than 36 as it is less than 86. This can be translated into the following equation:

\[ x - 36 = 86 - x \]

Now, let's solve this equation step by step:

1. Add \( x \) to both sides of the equation to get all the \( x \) terms on one side:
   \[ x + x - 36 = 86 \]
   \[ 2x - 36 = 86 \]

2. Add 36 to both sides to isolate the term with \( x \):
   \[ 2x - 36 + 36 = 86 + 36 \]
   \[ 2x = 122 \]

3. Divide both sides by 2 to solve for \( x \):
   \[ \frac{2x}{2} = \frac{122}{2} \]
   \[ x = 61 \]

So, the number that is as much greater than 36 as it is less than 86 is 61.

Final Answer: D. 61"
51,"If there are 5,000 voters out of which 20% are not eligible to vote and there are two candidates contesting. The winning candidate won by 15% of the votes. What is the total number of votes he got ?
A)3267  B)2678  C)2797  D)2300  E)2781",D,Final Answer: A. 3267
52,"If Raj was one-third as old as Rahim 5 years back and Raj is 17 years old now, How old is Rahim now?
A)37  B)41  C)40  D)42  E)43",B,"Let's break down the problem step by step:

1. **Determine Raj's age 5 years ago:**
   Raj is currently 17 years old. So, 5 years ago, Raj was:
   \[
   17 - 5 = 12 \text{ years old}
   \]

2. **Determine Rahim's age 5 years ago:**
   According to the problem, Raj was one-third as old as Rahim 5 years back. So, if Raj was 12 years old, Rahim was:
   \[
   12 \times 3 = 36 \text{ years old}
   \]

3. **Determine Rahim's current age:**
   If Rahim was 36 years old 5 years ago, then Rahim's current age is:
   \[
   36 + 5 = 41 \text{ years old}
   \]

Final Answer: B. 41"
53,"I know a 5 digit number having a property that with a 1 after it, it is three times as large as it would be with a 1 before it.
What is that number?
A)42857  B)32456  C)76523  D)24567  E)43566",A,"Let's denote the 5-digit number as \( x \).

According to the problem, appending a 1 to the end of the number makes it three times the number obtained by placing a 1 at the beginning of the number.

Mathematically, this can be expressed as:
\[ 10x + 1 = 3(10^5 + x) \]

Let's solve this step by step:

1. Expand the equation:
\[ 10x + 1 = 3 \times 10^5 + 3x \]

2. Simplify the equation:
\[ 10x + 1 = 300000 + 3x \]

3. Subtract \( 3x \) from both sides:
\[ 10x - 3x + 1 = 300000 \]
\[ 7x + 1 = 300000 \]

4. Subtract 1 from both sides:
\[ 7x = 299999 \]

5. Divide both sides by 7:
\[ x = \frac{299999}{7} \]
\[ x = 42857 \]

So, the 5-digit number is 42857.

Final Answer: A. 42857"
54,"Anna has 4 books. If she decide to arrange the 4 books in every possible combination and moved just one book every minute, how long would it taken by her ?
A)22 minutes  B)30 minutes  C)15 minutes  D)24 minutes  E)35 minutes",D,"To solve this problem, we need to determine the total number of ways Anna can arrange the 4 books and then calculate the time it would take to move just one book every minute.

1. **Calculate the number of permutations of 4 books:**
   The number of ways to arrange 4 books is given by the factorial of 4, denoted as 4!.
   \[
   4! = 4 \times 3 \times 2 \times 1 = 24
   \]
   So, there are 24 different ways to arrange the 4 books.

2. **Determine the time required to move one book per minute:**
   Since Anna moves just one book every minute, and there are 24 different arrangements, it will take her 24 minutes to move all the books into each of the 24 different arrangements.

Final Answer: D. 24 minutes"
55,"In a bag of red and green sweets, the ratio of red sweets to green sweets is 3:4. If the bag contains 120 green sweets, how many red sweets are there?
A)90  B)80  C)95  D)100  E)85",A,Final Answer: A. 90
56,"A car finishes a journey in 20 hours at the speed of 60 km/hr. If the same distance is to be covered in 10 hours, how much speed does the car gain?
A)80 kmph  B)50 kmph  C)120 kmph  D)70 kmph  E)80 kmph",C,"To solve this problem, we need to determine the distance of the journey first and then calculate the required speed to cover that distance in 10 hours.

1. **Calculate the distance of the journey:**
   The car travels at a speed of 60 km/hr for 20 hours. The distance \( D \) can be calculated using the formula:
   \[
   D = \text{Speed} \times \text{Time}
   \]
   \[
   D = 60 \, \text{km/hr} \times 20 \, \text{hours} = 1200 \, \text{km}
   \]

2. **Calculate the required speed to cover the same distance in 10 hours:**
   Let \( S \) be the required speed. Using the same distance formula:
   \[
   D = S \times \text{New Time}
   \]
   \[
   1200 \, \text{km} = S \times 10 \, \text{hours}
   \]
   Solving for \( S \):
   \[
   S = \frac{1200 \, \text{km}}{10 \, \text{hours}} = 120 \, \text{km/hr}
   \]

3. **Determine the speed gain:**
   The speed gain is the difference between the new speed and the original speed:
   \[
   \text{Speed Gain} = S - \text{Original Speed}
   \]
   \[
   \text{Speed Gain} = 120 \, \text{km/hr} - 60 \, \text{km/hr} = 60 \, \text{km/hr}
   \]

However, the options provided do not include 60 km/hr. Let's recheck the calculations.

4. **Recheck the calculations:**
   The distance is indeed 1200 km. The new speed required to cover this distance in 10 hours is:
   \[
   S = \frac{1200 \, \text{km}}{10 \, \text{hours}} = 120 \, \text{km/hr}
   \]
   The speed gain is:
   \[
   \text{Speed Gain} = 120 \, \text{km/hr} - 60 \, \text{km/hr} = 60 \, \text{km/hr}
   \]

Since the options provided do not match the calculated speed gain, there might be a mistake in the options. However, if we consider the closest option, it would be:

Final Answer: 'C'. 120 kmph"
57,"A box contains a certain number of balls, marked successively from 1 to n. If there are 45 different ways that two balls can be selected from the box such that the ball with number 3 marked on it is not selected, then what is the value of n?
A)11  B)10  C)9  D)8  E)7",A,"To solve this problem, we need to determine the number of ways to select two balls from a box containing balls numbered from 1 to n, such that the ball numbered 3 is not selected.

1. **Total ways to select 2 balls from n balls**:
   The total number of ways to select 2 balls from n balls is given by the combination formula:
   \[
   \binom{n}{2} = \frac{n(n-1)}{2}
   \]

2. **Ways to select 2 balls excluding the ball numbered 3**:
   If we exclude the ball numbered 3, we are left with \( n-1 \) balls. The number of ways to select 2 balls from these \( n-1 \) balls is:
   \[
   \binom{n-1}{2} = \frac{(n-1)(n-2)}{2}
   \]

3. **Given condition**:
   According to the problem, there are 45 different ways to select 2 balls such that the ball numbered 3 is not selected. Therefore, we set up the equation:
   \[
   \frac{(n-1)(n-2)}{2} = 45
   \]

4. **Solve for n**:
   Multiply both sides by 2 to clear the fraction:
   \[
   (n-1)(n-2) = 90
   \]

   Expand and rearrange the equation:
   \[
   n^2 - 3n + 2 = 90
   \]
   \[
   n^2 - 3n - 88 = 0
   \]

   Solve the quadratic equation using the quadratic formula \( n = \frac{-b \pm \sqrt{b^2 - 4ac}}{2a} \), where \( a = 1 \), \( b = -3 \), and \( c = -88 \):
   \[
   n = \frac{-(-3) \pm \sqrt{(-3)^2 - 4 \cdot 1 \cdot (-88)}}{2 \cdot 1}
   \]
   \[
   n = \frac{3 \pm \sqrt{9 + 352}}{2}
   \]
   \[
   n = \frac{3 \pm \sqrt{361}}{2}
   \]
   \[
   n = \frac{3 \pm 19}{2}
   \]

   This gives us two potential solutions:
   \[
   n = \frac{3 + 19}{2} = 11
   \]
   \[
   n = \frac{3 - 19}{2} = -8
   \]

   Since \( n \) must be a positive integer, we discard \( n = -8 \).

5. **Conclusion**:
   The value of \( n \) is 11.

Final Answer: A. 11"
58,"For bringing each copper coin from the bottom of a river, a coin-diver gets 20 cents, and for each brass coin she gets 25 cents. If after one dive, she got $3.40. What is the minimum number of copper coins that she brought?
A)4  B)3  C)2  D)1  E)0",C,Final Answer: B. 3
59,"10kg of a mixture contains 30% sand and 70% clay. In order to make the mixture contain equal quantities of clay and sand how much of the mixture is to be removed and replaced with pure sand?
A)10/7  B)20/7  C)30/7  D)40/7  E)50/7",B,"To solve this problem, we need to determine how much of the mixture to remove and replace with pure sand to achieve equal quantities of clay and sand.

1. **Calculate the amount of sand and clay in the original mixture:**
   - The mixture contains 30% sand and 70% clay.
   - Amount of sand = 30% of 10 kg = 0.3 * 10 kg = 3 kg
   - Amount of clay = 70% of 10 kg = 0.7 * 10 kg = 7 kg

2. **Determine the desired final amounts of sand and clay:**
   - We want equal quantities of sand and clay.
   - Let x be the amount of the mixture to be removed and replaced with pure sand.
   - After removing x kg of the mixture, we will have (10 - x) kg of the original mixture left.
   - The amount of sand in the remaining mixture = 30% of (10 - x) kg = 0.3 * (10 - x) kg
   - The amount of clay in the remaining mixture = 70% of (10 - x) kg = 0.7 * (10 - x) kg

3. **Add pure sand to the mixture:**
   - After adding x kg of pure sand, the total amount of sand will be (0.3 * (10 - x) + x) kg.
   - The total amount of clay remains 7 kg.

4. **Set up the equation for equal quantities of sand and clay:**
   - We want the amount of sand to be equal to the amount of clay:
     \[
     0.3 * (10 - x) + x = 7
     \]

5. **Solve for x:**
   \[
   0.3 * (10 - x) + x = 7
   \]
   \[
   3 - 0.3x + x = 7
   \]
   \[
   3 + 0.7x = 7
   \]
   \[
   0.7x = 4
   \]
   \[
   x = \frac{4}{0.7}
   \]
   \[
   x = \frac{40}{7}
   \]

6. **Conclusion:**
   - The amount of the mixture to be removed and replaced with pure sand is \(\frac{40}{7}\) kg.

Final Answer: D. \(\frac{40}{7}\)"
60,"The bus fare of one adult is Rs. 140 from Ranchi to Patna and bus fare of a child is half the fare of one adult between the same places. What is the total bus fare of 4 adults and 3 children between same places?
A)Rs. 666  B)Rs. 670  C)Rs. 700  D)Rs. 570  E)Rs. 770",E,"Sure, let's solve this step by step.

1. **Calculate the bus fare for one child:**
   The bus fare for one child is half the fare of one adult.
   \[
   \text{Child's fare} = \frac{1}{2} \times \text{Adult's fare} = \frac{1}{2} \times 140 = 70 \text{ Rs}
   \]

2. **Calculate the total bus fare for 4 adults:**
   \[
   \text{Total fare for 4 adults} = 4 \times 140 = 560 \text{ Rs}
   \]

3. **Calculate the total bus fare for 3 children:**
   \[
   \text{Total fare for 3 children} = 3 \times 70 = 210 \text{ Rs}
   \]

4. **Calculate the total bus fare for 4 adults and 3 children:**
   \[
   \text{Total fare} = \text{Total fare for 4 adults} + \text{Total fare for 3 children} = 560 + 210 = 770 \text{ Rs}
   \]

Final Answer: E. 770"
61,"The length of the ribbon was originally 30 cm. It was reduced in the ratio 5 : 3. What is its length now?
A)18  B)30  C)6  D)15  E)12",A,"To solve this problem, we need to understand that the ratio 5:3 means that for every 5 units of the original length, the new length is 3 units. We can set up a proportion to find the new length.

Let's denote the original length as \( L \) and the new length as \( L' \). According to the problem, the original length \( L \) is 30 cm.

The ratio given is 5:3, which means:
\[ \frac{L'}{L} = \frac{3}{5} \]

Substituting the original length \( L = 30 \) cm into the equation, we get:
\[ \frac{L'}{30} = \frac{3}{5} \]

To find \( L' \), we cross-multiply:
\[ 5 \cdot L' = 3 \cdot 30 \]

\[ 5 \cdot L' = 90 \]

Now, divide both sides by 5 to solve for \( L' \):
\[ L' = \frac{90}{5} \]

\[ L' = 18 \]

So, the new length of the ribbon is 18 cm.

Final Answer: A. 18"
62,"A bag contains 11 candy bars: three cost 50 cents each, four cost $1 each and four cost $2
each. How many ways can 3 candy bars be selected from the 11 candy bars so that the total cost is more than $4?
A)8  B)28  C)46  D)66  E)70",C,"To solve this problem, we need to consider all possible combinations of 3 candy bars that result in a total cost greater than $4. We'll break it down by the cost of the candy bars:

1. **Three $2 bars**: There is only 1 way to choose three $2 bars, and their total cost is $6, which is greater than $4.

2. **Two $2 bars and one $1 bar**: There are 4 ways to choose two $2 bars and 4 ways to choose one $1 bar, so there are \(4 \times 4 = 16\) ways.

3. **One $2 bar and two $1 bars**: There are 4 ways to choose one $2 bar and 4 ways to choose two $1 bars, so there are \(4 \times 4 = 16\) ways.

4. **Three $1 bars**: There is only 1 way to choose three $1 bars, and their total cost is $3, which is not greater than $4. So, we exclude this case.

Adding up the valid combinations, we have:
- 1 way from the first case
- 16 ways from the second case
- 16 ways from the third case

Total number of ways = \(1 + 16 + 16 = 33\)

However, we need to check if there are any combinations involving the $0.50 bars that result in a total cost greater than $4. Since the cost of three $0.50 bars is $1.50, which is less than $4, we don't need to consider them.

Final Answer: B) 28"
63,"A number of friends decided to go on a picnic and planned to spend Rs. 96 on eatables. Four of them, however, did not turn up. As a consequence, the remaining ones had to contribute Rs. 4 extra, each. The number of those who attended the picnic was
A)8  B)12  C)16  D)24  E)25",A,"Let's denote the total number of friends who initially planned to go on the picnic as \( n \) and the amount each friend was supposed to contribute as \( x \). According to the problem, the total amount planned to be spent on eatables is Rs. 96. Therefore, we can write the equation:

\[ n \cdot x = 96 \]

Now, four friends did not turn up, so the number of friends who actually attended the picnic is \( n - 4 \). Because of the reduced number of attendees, each of the remaining friends had to contribute Rs. 4 extra. This means the new contribution per person is \( x + 4 \). The total amount spent remains the same, so we can write another equation:

\[ (n - 4) \cdot (x + 4) = 96 \]

Now we have a system of two equations:

1. \( n \cdot x = 96 \)
2. \( (n - 4) \cdot (x + 4) = 96 \)

Let's solve this system step by step.

From the first equation, we can express \( x \) in terms of \( n \):

\[ x = \frac{96}{n} \]

Substitute \( x \) in the second equation:

\[ (n - 4) \cdot \left(\frac{96}{n} + 4\right) = 96 \]

Simplify the equation:

\[ (n - 4) \cdot \frac{96}{n} + (n - 4) \cdot 4 = 96 \]

\[ 96 - \frac{384}{n} + 4n - 16 = 96 \]

\[ 4n - \frac{384}{n} = 16 \]

Multiply through by \( n \) to clear the fraction:

\[ 4n^2 - 384 = 16n \]

Rearrange the equation:

\[ 4n^2 - 16n - 384 = 0 \]

Divide through by 4:

\[ n^2 - 4n - 96 = 0 \]

Factor the quadratic equation:

\[ (n - 12)(n + 8) = 0 \]

This gives us two possible solutions for \( n \):

\[ n = 12 \quad \text{or} \quad n = -8 \]

Since the number of friends cannot be negative, we discard \( n = -8 \). Therefore, the number of friends who attended the picnic is:

\[ n = 12 \]

Final Answer: B. 12"
64,"Last year, a Home Appliance Store sold an average(arithmetic mean) of 42 microwave ovens per month. In the first 10 months of this year,the store has sold an average(arithmetic mean) of only 20 microwave ovens per month. What was the average number of microwave ovens sold per month during the entire 22 months period ?
A)21  B)30  C)31  D)32  E)None of the above",D,"To find the average number of microwave ovens sold per month during the entire 22 months period, we need to calculate the total number of microwave ovens sold over the 22 months and then divide by 22.

1. Calculate the total number of microwave ovens sold in the first 10 months:
   Total sold in 10 months = 10 months * 20 ovens/month = 200 ovens

2. Calculate the total number of microwave ovens sold in the remaining 12 months:
   Total sold in 12 months = 12 months * 42 ovens/month = 504 ovens

3. Add the totals from the two periods to get the overall total:
   Overall total = 200 ovens + 504 ovens = 704 ovens

4. Divide the overall total by the number of months to find the average:
   Average = 704 ovens / 22 months ≈ 32 ovens/month

Final Answer: D. 32"
65,"In a chocolate store, all chocolates are either vanilla or cocoa flavored only. 10% of the chocolates are cocoa flavored, 90% of the rest are squashed. What percentage of the chocolates are both vanilla flavored and not squashed?
A)1%  B)2%  C)5%  D)9%  E)10%",D,"Let's break down the problem step by step:

1. **Total chocolates**: Let's assume there are 100 chocolates for simplicity.
2. **Cocoa flavored chocolates**: 10% of the chocolates are cocoa flavored. So, 10% of 100 chocolates = 10 chocolates are cocoa flavored.
3. **Vanilla flavored chocolates**: The rest of the chocolates are vanilla flavored. So, 100 - 10 = 90 chocolates are vanilla flavored.
4. **Squashed chocolates**: 90% of the vanilla flavored chocolates are squashed. So, 90% of 90 chocolates = 81 chocolates are squashed.
5. **Not squashed chocolates**: The remaining vanilla flavored chocolates are not squashed. So, 90 - 81 = 9 chocolates are both vanilla flavored and not squashed.

Now, to find the percentage of chocolates that are both vanilla flavored and not squashed:

\[ \text{Percentage} = \left( \frac{\text{Number of chocolates that are both vanilla flavored and not squashed}}{\text{Total number of chocolates}} \right) \times 100 \]

\[ \text{Percentage} = \left( \frac{9}{100} \right) \times 100 = 9\% \]

Final Answer: D. 9"
